episode,reward,episode_length,episode_time_s,success,progress_m,lap_time_s,best_lap_s,mean_speed_mps
177,465.085303,189,9.450000000000001,0,65.09826077114653,9.450000000000001,9.450000000000001,13.132739223539845
178,478.845631,189,9.450000000000001,0,66.81364360787663,9.450000000000001,9.450000000000001,12.954612587392358
179,428.611867,181,9.05,0,60.424181468340315,9.05,9.05,12.295230638980884
180,824.758415,262,13.100000000000001,0,110.8264946063393,13.100000000000001,13.100000000000001,16.20845946818592
181,349.918678,161,8.05,0,50.46401258394842,8.05,8.05,11.414086925983446
182,458.410878,189,9.450000000000001,0,64.32702310270166,9.450000000000001,9.450000000000001,12.602015434205553
183,430.133881,185,9.25,0,60.83534628618843,9.25,9.25,14.208809901773952
184,813.675817,241,12.05,0,109.4310613851114,12.05,12.05,16.577110286057017
185,440.22947,169,8.450000000000001,0,61.92384097972039,8.450000000000001,8.450000000000001,13.827976177632822
186,438.992597,168,8.4,0,61.64715408940725,8.4,8.4,13.762212981283682
187,456.245788,182,9.1,0,63.96360190973452,9.1,9.1,15.00280451774599
188,469.384624,177,8.85,0,65.50596867453714,8.85,8.85,13.688597112894081
189,1295.903498,325,16.25,0,170.70588645375273,16.25,16.25,17.960795000195503
190,915.497792,275,13.75,0,122.51174502879063,13.75,13.75,16.83997411429884
191,488.58177,187,9.35,0,67.9918206704003,9.35,9.35,13.836807945370689
192,433.044085,180,9.0,0,60.97056046621006,9.0,9.0,13.487841653823876
193,459.502045,178,8.9,0,64.32702310270166,8.9,8.9,13.741082064807436
194,1316.13244,312,15.600000000000001,0,172.95460906214402,15.600000000000001,15.600000000000001,17.81407987475395
195,453.507089,196,9.8,0,63.96360190973452,9.8,9.8,12.39027602076532
196,448.99598,171,8.55,0,62.958730633741,8.55,8.55,15.697234694659725
197,452.079962,182,9.1,0,63.280015838847575,9.1,9.1,15.311040352284929
198,1301.827276,305,15.25,0,171.0832639075441,15.25,15.25,17.74361342489719
199,579.180063,214,10.700000000000001,0,79.87566112125818,10.700000000000001,10.700000000000001,15.308120374381561
200,1004.666641,271,13.55,0,133.50700415945832,13.55,13.55,18.0
201,449.009728,173,8.65,0,62.958730633741,8.65,8.65,15.227918037772199
202,1304.856752,324,16.2,0,171.67619331841746,16.2,16.2,18.0
203,1203.10464,280,14.0,0,158.58717443177542,14.0,14.0,18.0
204,827.792073,233,11.65,0,111.06427821987641,11.65,11.65,17.63731036931278
205,1585.093962,313,15.65,1,0.0,15.65,15.65,17.837159782648087
